side,nerve,segment,function,muscle,rank,segID,id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position,preferred_pool
R,Ventral,thorax,extend,extracoxal_trochanter_depressor,Vn,648518346501264984,414,t,V5_T1R,extracoxal_trochanter_depressor_in_thorax_Vn,73890000093079139,648518346501264984,[54883 84397  2319],
R,Ventral,thorax,extend,extracoxal_trochanter_depressor,Vn,648518346476492918,415,t,V3_T1R,extracoxal_trochanter_depressor_in_thorax_Vn,73819768452722670,648518346476492918,[53218 89773  1773],
R,Ventral,thorax,stance,sternal_anterior_rotator_miller_31,0,648518346494837170,416,t,V4_T1R,sternal_anterior_rotator_in_thorax_miller_31,73819631080756230,648518346494837170,[51491 84167  1836],
R,Ventral,thorax,stance,sternal_anterior_rotator_miller_31,0,648518346495499883,417,t,V4_T1R,sternal_anterior_rotator_in_thorax_miller_31,73749262537938160,648518346495499883,[50618 85421  2234],
R,Leg,tibia,flex,tarsus_depressor,medial,648518346520229713,390,t,L1_T1R,tarsus_depressor_in_tibia_medial,73890137733816602,648518346520229713,[54506 88712  2796],
L,Leg,trochanter,reductor,femur_reductor,0,648518346499375454,327,t,L2_T1L,femur_reductor_in_trochanter,72904974979562931,648518346499375454,[26129 89938  2100],femur_reductor
R,Leg,trochanter,reductor,femur_reductor,0,648518346493764856,399,t,L2_T1R,femur_reductor_in_trochanter_0,74101312618532143,648518346493764856,[60197 90640  2597],
R,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346465963568,368,t,L1_T1R,auxiliary_tibia_flexor_in_femur_A2,74030875289214644,648518346465963568,[58252 88943  2902],
L,Leg,coxa,flex,trochanter_promotor,0,648518346483147454,330,t,L3_T1L,trochanter_promotor_in_coxa,72834675156180869,648518346483147454,[23917 91774  2481],trochanter_flexion
L,Leg,ltm,claw,ltm,large,648518346477891821,315,t,L1_T1L,ltm_medial_dendrite,72764306546195074,648518346477891821,[20938 91662  2708],ltm
R,Leg,ltm,claw,ltm,large,648518346503947872,381,t,L1_T1R,ltm_medial_dendrite,73819769056510755,648518346503947872,[51635 88345  2844],
L,Ventral,coxa,flex,trochanter_flexor,Vn,648518346479231377,338,t,V1_T1L,trochanter_flexor_in_coxa_Vn,72623431350591952,648518346479231377,[17632 86321  2265],trochanter_flexion
L,Ventral,thorax,extend,tergotrochanter,0,648518346486616111,340,t,V3_T1L,tergotrochanter_in_thorax_0,73045781120322699,648518346486616111,[30633 90820  1976],trochanter_extension
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346488733681,305,t,L1_T1L,auxiliary_tibia_flexor_in_femur_Bslow,72693868948486343,648518346488733681,[18966 89119  2534],main_tibia_flexor
L,Leg,femur,flex,main_tibia_flexor,0,648518346498405396,307,t,L1_T1L,main_tibia_flexor_in_femur_0,72623431551729501,648518346498405396,[17078 87425  2586],main_tibia_flexor
L,Leg,ltm,claw,ltm,small,648518346465977136,317,t,L1_T1L,ltm_small_medial_dendrite,72834606436679217,648518346465977136,[23600 88276  2454],ltm
L,Leg,trochanter,reductor,femur_reductor,0,648518346466742382,326,t,L2_T1L,femur_reductor_in_trochanter,72482831368300777,648518346466742382,[13932 91818  2387],femur_reductor
L,Leg,femur,extend,tibia_extensor,feti,648518346488512137,334,t,L4_T1L,tibia_extensor_in_femur_feti,72904906125917495,648518346488512137,[25239 86800  1848],tibia_extensor
L,Leg,femur,flex,main_tibia_flexor,4,648518346480295739,311,t,L1_T1L,main_tibia_flexor_in_femur_4,72623500137174407,648518346480295739,[18229 89516  2400],main_tibia_flexor
L,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346482850213,300,t,L1_T1L,auxiliary_tibia_flexor_in_femur_A2,72975275272752584,648518346482850213,[28646 87284  2618],auxiliary_tibia_flexor_B
L,Ventral,thorax,stance,sternal_anterior_rotator_miller_31,0,648518346483739567,346,t,V4_T1L,sternal_anterior_rotator_in_thorax_miller_31,72623499935890376,648518346483739567,[17144 89099  2005],thorax_stance
L,Ventral,thorax,extend,tergotrochanter,1,648518346493010864,341,t,V2_T1L,tergotrochanter_in_thorax_1,72834674753554975,648518346493010864,[22701 91045  1692],trochanter_extension
L,Ventral,thorax,extend,tergotrochanter,3,648518346474565314,343,t,V2_T1L,tergotrochanter_in_thorax_3,72764237491106224,648518346474565314,[21122 88740  2060],trochanter_extension
